Дата,Продукт,Продажи,Доход,Регион,Клиент
2024-01-01,Ноутбук,15,450000,Москва,ООО Технологии
2024-01-01,Телефон,25,125000,Санкт-Петербург,ИП Иванов
2024-01-01,Планшет,10,50000,Казань,Компания Прогресс
2024-01-02,Ноутбук,12,360000,Москва,ООО Инновации
2024-01-02,Телефон,30,150000,Новосибирск,ТД Электроника
2024-01-02,Планшет,8,40000,Екатеринбург,Магазин Техники
2024-01-03,Ноутбук,18,540000,Москва,Корпорация Будущее
2024-01-03,Телефон,22,110000,Санкт-Петербург,ООО Связь
2024-01-03,Планшет,15,75000,Казань,ИП Петров
2024-01-04,Ноутбук,20,600000,Нижний Новгород,Холдинг Технологий
2024-01-04,Телефон,35,175000,Краснодар,Сеть Магазинов
2024-01-04,Планшет,12,60000,Ростов-на-Дону,ООО Цифровой Мир
2024-01-05,Ноутбук,16,480000,Москва,Корпорация Данных
2024-01-05,Телефон,28,140000,Самара,ИП Смирнов
2024-01-05,Планшет,9,45000,Воронеж,Компания Инфо
2024-01-06,Ноутбук,14,420000,Челябинск,ООО Системы
2024-01-06,Телефон,32,160000,Омск,Торговый Дом
2024-01-06,Планшет,11,55000,Уфа,ИП Козлов
2024-01-07,Ноутбук,22,660000,Москва,Мегакорп
2024-01-07,Телефон,26,130000,Волгоград,ООО Коммуникации
2024-01-07,Планшет,13,65000,Пермь,Центр Технологий 